Driver ID,Ride Classification,Rating Classification,Working Days,Working Hours/Day,% rejection
20553,Above Average, Medium,Low, Medium,Low
20582,Below Average, Medium,Low,Low,Low
20608,Above Average,Low,High,High,Low
20673,Above Average,Low,High,High,Low
20688,Below Average,High,Low,Low,Low
20694,Below Average, Medium,Low,Low,Low
20724,Below Average, Medium,High,High, Medium
20732,Above Average, Medium,Low,High,Low
20736,Above Average, Medium,High,High,Low
20737,Above Average, Medium,High,High,Low
20738,Below Average,High,Low,Low, Medium
20741,Below Average,High,Low,Low,Low
20744,Above Average, Medium, Medium,High,High
20748,Above Average,Low,High,High,Low
20754, Average,Low, Medium,High,High
20755, Average,Low,Low,High,Low
20762,Above Average,Low,High,High,Low
20785,Above Average, Medium,High,High,High
20795, Average, Medium,Low, Medium,Low
21512, Average, Medium,High,Low,Low
21644,Below Average, Medium, Medium,Low,Low
21659,Below Average,High,Low,Low,Low
22008,Above Average,Low,High,High,Low
22039,Below Average,High,Low,Low, Medium
22074,Above Average, Medium,High,High,Low
22134,Above Average, Medium,Low,High,Low
22535, Average, Medium, Medium,High,Low
22605, Average,Low,Low, Medium,Low
24176,Below Average,Low,Low,Low,Low
24209,Below Average,High, Medium,Low,Low
25280,Above Average, Medium, Medium,High,Low
27963,Below Average,High,Low,Low,Low
28179, Average,Low, Medium, Medium,Low
28867,Below Average,High,Low,Low,Low
29921,Below Average,Low,Low,Low,Low
30141, Average, Medium,High,High, Medium
30332,Above Average,Low,High,High,Low
31294,Below Average, Medium,Low, Medium,Low
31326,Below Average, Medium,Low,Low,Low
31430,Below Average,High,Low,Low,Low
31602,Above Average, Medium,High,High,Low
32017,Below Average, Medium,Low, Medium,Low
32197,Above Average,Low,High,High, Medium
32598,Above Average,Low, Medium, Medium,Low
32965,Below Average,High,Low,Low,Low
33149,Above Average,Low,High,High,Low
33349,Above Average,Low, Medium,High, Medium
33351,Above Average,High,Low,High,Low
33352,Above Average, Medium,Low,High,Low
33679, Average,Low, Medium, Medium,Low
33711,Above Average,High,Low,High,Low
33829,Below Average, Medium,Low,Low,Low
33843,Above Average,Low,Low,High,Low
33854,Above Average, Medium,Low, Medium,Low
33891,Below Average,High,Low,Low,Low
33910,Below Average,High,Low,Low,Low
34094,Below Average,High,Low,Low,Low
34120,Above Average,Low,Low,High,Low
34262,Above Average,Low, Medium,High,High
34409,Below Average,High,Low,Low,Low
34460,Below Average,Low,Low,Low,Low
34581,Above Average,Low, Medium,High,Low
34589,Above Average,Low,High,High,Low
34608, Average,Low,High, Medium,Low
34695, Average,Low,High, Medium,High
34807, Average,Low, Medium,High,Low
34818, Average, Medium, Medium, Medium,Low
34844, Average, Medium,Low,Low,High
34965,Below Average,High,Low,Low,Low
34970,Above Average,Low, Medium,High,Low
34992,Below Average, Medium, Medium, Medium,Low
35033,Above Average, Medium, Medium, Medium,Low
35136, Average, Medium,Low, Medium,Low
35304, Average, Medium,Low, Medium,Low
35482,Below Average,High, Medium,Low,Low
35493,Below Average,Low, Medium, Medium,Low
35709, Average,Low, Medium, Medium,Low
35723,Below Average,High,Low,Low,Low
36531,Below Average,High, Medium,Low,Low
36545,Above Average, Medium, Medium,High,Low
36559, Average,High,Low,High,Low
36596, Average, Medium,High,High,Low
36670,Below Average,High,Low,Low,Low
36715, Average,High,Low,Low,Low
36725,Below Average,High,Low,Low,Low
36808,Below Average,Low, Medium,Low,Low
36878,Below Average, Medium,Low, Medium, Medium
36882, Average,Low, Medium, Medium, Medium
36891, Average,Low,Low,Low,Low
36908,Below Average,High,Low,Low,Low
37060,Below Average,High,Low,Low,Low
37078, Average,Low,Low,High,Low
37094,Below Average,Low,Low,Low, Medium
37124,Below Average,Low,Low,High,Low
37145,Above Average, Medium,High,High,Low
37157,Below Average, Medium, Medium, Medium,Low
37167,Above Average, Medium,High,High,Low
37229,Above Average,High,Low,High,Low
37233,Above Average, Medium,Low,High,Low
37237,Below Average,High,Low,Low,Low
37239,Below Average,High,Low, Medium,Low
37248, Average,Low,Low,High,Low
37259,Above Average,Low,Low,High,Low
37277,Below Average,High,Low,Low,Low
37325, Average,Low,High, Medium,Low
37331,Below Average,Low,Low,Low,Low
37488,Below Average,Low,High,High,Low
37489,Below Average,High,Low, Medium, Medium
37612,Below Average,Low,Low,Low,Low
37623,Below Average,High,Low,Low,Low
37626,Below Average,High,Low,Low,Low
37629,Below Average,High,Low,Low, Medium
37639, Average,High,Low,High,Low
37650,Above Average, Medium,High,High, Medium
37659,Below Average, Medium,Low,Low,Low
37669,Above Average,Low,High,High,Low
37861, Average,High,Low, Medium,Low
37909,Above Average, Medium,Low,High,Low
37955, Average,High,Low,Low,Low
37982,Above Average, Medium,Low,High,Low
37987,Below Average,High,Low,Low,Low
38271,Below Average,High,Low,Low,Low
38302,Below Average, Medium,Low,Low,Low
38338,Above Average,Low,Low,High, Medium
38352,Above Average,Low, Medium,High,Low
38397,Below Average,High,Low, Medium,Low
38463,Below Average, Medium,High,Low,Low
38501,Above Average, Medium,Low,High,Low
38513,Below Average,High,Low,Low,Low
38531,Below Average,High,Low,Low,Low
38580,Below Average,High,Low,Low,Low
38882,Below Average, Medium, Medium,Low,Low
38899,Below Average,Low,Low, Medium,Low
38902,Below Average,High,Low,Low,Low
38909,Above Average, Medium,High,High,Low
38930,Above Average, Medium,Low,High,Low
38943,Below Average,High,Low,Low,Low
39005,Below Average,Low,Low,Low,Low
39006, Average, Medium, Medium, Medium,Low
39023,Below Average,Low,Low,Low,Low
39054,Below Average, Medium,Low, Medium,Low
39058,Above Average, Medium,Low,High,Low
39201,Above Average, Medium,High,High,High
39215,Above Average,Low,High,High,Low
39240,Below Average,High,Low,Low,Low
39251, Average,Low,Low,Low,Low
39285,Below Average,High,Low,Low,Low
39287,Above Average,Low,Low,High,Low
39291,Above Average,Low,Low,High,Low
39309,Above Average,Low,High,High,Low
39480, Average,High,Low, Medium,Low
39495,Above Average,Low,Low,High,Low
39500,Below Average,Low,Low,Low,Low
39512,Below Average,Low,Low, Medium,Low
39537,Above Average, Medium, Medium,High,Low
39562, Average,Low,High, Medium,Low
39570, Average,Low,Low, Medium,Low
39580,Below Average,High,Low,Low,Low
39588, Average, Medium,High,Low,Low
39594,Below Average,High,Low,Low,Low
39642,Below Average,High,Low,Low,Low
40168, Average,Low,Low, Medium, Medium
40242,Below Average,High,Low, Medium,Low
40382,Below Average, Medium,Low,Low,Low
40412, Average, Medium,Low,High,Low
40422,Below Average, Medium,Low,Low,Low
40736,Below Average,High,Low,Low,Low
40792,Below Average,High,Low,Low,Low
40952,Below Average, Medium, Medium,Low,Low
41008,Above Average, Medium,Low,High,Low
41373, Average,Low,Low,Low,Low
41387,Below Average,High,Low,Low,Low
41422,Above Average, Medium,High,High, Medium
41496,Below Average,Low,Low,Low,Low
41517,Above Average, Medium,High,High,Low
42092,Below Average,High,Low,Low,Low
42227,Above Average,Low,High,High,Low
42230, Average,Low,Low, Medium,Low
42370, Average, Medium, Medium, Medium,Low
42424,Below Average,High,Low, Medium,Low
42485, Average, Medium,High,High,Low
42713,Below Average,Low,Low,Low,Low
42896,Below Average, Medium, Medium, Medium,Low
42926,Below Average,High,Low,Low,Low
43158,Below Average,Low,Low,Low,Low
43173,Below Average,Low,Low,Low,Low
43367,Above Average, Medium,High,High,Low
43382, Average,Low,High, Medium,Low
43407,Below Average,High,Low,Low,Low
43448,Below Average,High,Low,Low,Low
43452,Above Average,Low,Low,High,Low
43458,Above Average, Medium, Medium,High,Low
43465, Average,Low,Low,High,Low
43842,Below Average,High,Low,Low,Low
43877, Average,Low,High,High,Low
43937,Below Average,Low,Low,Low,Low
43941,Above Average, Medium,High,High,High
43947, Average,Low,Low, Medium,Low
44068,Below Average,Low,Low, Medium,Low
44076,Above Average,Low,High,High,Low
44107,Above Average,Low, Medium,High,Low
44128,Above Average,Low,Low,High,Low
44179,Above Average,Low,Low,High,High
44189,Below Average,Low,Low,Low,Low
44377,Below Average, Medium,Low,Low,Low
44440, Average,Low,High,High,Low
44593,Above Average,High,Low,High,Low
44608, Average,Low,Low, Medium,Low
44642,Below Average,Low,Low, Medium,Low
44646,Above Average,High,Low,High,Low
44656,Above Average,Low,High,High,Low
44877,Below Average,Low,Low,Low,Low
44894,Above Average,Low,High,High, Medium
44906,Below Average, Medium,Low,Low,Low
45038,Above Average, Medium, Medium,High,Low
45052,Above Average,Low,Low,High, Medium
45783,Above Average,Low,High,High,Low
45874,Below Average,Low,Low,Low,Low
45881,Below Average,Low,Low, Medium,Low
46014,Below Average,High,Low,Low,Low
46095,Below Average, Medium,Low,Low,Low
46391,Below Average,Low,Low,Low,Low
46507, Average,Low,High,High,Low
46510, Average, Medium, Medium, Medium,Low
46513,Below Average,Low,Low,Low,Low
46607,Below Average,Low,Low,High,Low
46817, Average, Medium,High, Medium,Low
47119,Below Average,High,Low,Low,Low
47312,Below Average,High,Low,Low,Low
47318,Below Average,High,Low,Low,Low
47384,Below Average,High,Low,Low,Low
47438,Below Average,High,Low,Low,High
47445,Below Average,High,Low,Low, Medium
47595,Below Average,High,Low,Low,Low
47768,Below Average,High,Low,Low,Low
47772,Below Average,High,Low,Low,Low
47831,Above Average, Medium,Low,High, Medium
47853,Below Average,Low,Low,Low,Low
