Driver ID,Average of driver_rating,Average ride time,Average of total_fare
20553,0.851405622,17.68560606,145.4600379
20582,3.282051282,21.92307692,141.3958974
20608,3.116575592,17.26333333,112.0263667
20673,3.314565483,23.04094166,144.7354043
20688,5,37,206.92
20694,2.954545455,38.5,160.0772727
20724,3.630434783,19.99585062,139.3236929
20732,3.970873786,20.69902913,131.837767
20736,3.765027322,20.65878378,127.5568074
20737,3.748743719,22.74413146,141.3093192
20738,3.333333333,25.52631579,224.5684211
20741,5,12.08510638,61.22148936
20744,3.653739612,21.28162291,128.2350835
20748,3.555555556,26.64697987,144.2655705
20754,3.169902913,20.22685185,132.8884259
20755,3.333333333,22.5,121.7283333
20762,3.535194175,23.98921251,139.4914995
20785,3.688492063,24.76079734,143.0293854
20795,3.352941176,28.17647059,148.8717647
21512,3.56640625,24.71376812,139.4543478
21644,3.469798658,21.84076433,135.9245223
21659,4.666666667,22.66666667,133.0177778
22008,3.314320388,20.67905405,131.2483333
22039,3.625,37.88888889,144.4133333
22074,3.890322581,23.16272189,134.3893787
22134,3.974683544,25.6835443,137.9805063
22535,3.624413146,23.08510638,138.1366383
22605,3.163934426,27.31147541,151.9590164
24176,3.242424242,27.88888889,133.8836111
24209,4.23853211,24.54054054,138.7576577
25280,3.552238806,25.77832512,145.6487192
27963,3.639344262,26.82258065,148.5079032
28179,3.255102041,25.78070175,141.2335965
28867,3.75,24.875,132.65875
29921,#DIV/0!,1,50.98666667
30141,3.505976096,18.80384615,125.2223077
30172,5,14.5,94.931
30332,3.491408935,25.94462541,142.858013
31294,3.633333333,28.93548387,141.3409677
31326,3.333333333,20.16666667,138.1275
31430,5,19.66666667,123.0266667
31602,3.635208711,21.99367089,140.314288
32017,3.769230769,34.80769231,153.2688462
32197,3.287461774,27.36533333,150.2702933
32598,3.25,25.6910299,140.7990698
32965,1.875,21.25,144.075
33149,3.450331126,23.38044759,143.4276914
33349,3.635048232,21.85799701,141.1495815
33351,4.210526316,23.42105263,133.8526316
33352,3.660377358,25.54716981,144.5879245
33679,3.319444444,24.76870748,134.7385034
33711,3.966666667,23.57777778,127.3304444
33829,3.470588235,22.325,154.55075
33843,3.507352941,32.94852941,155.2094118
33854,3.793103448,25.9137931,136.0037931
33891,3.428571429,19.11111111,128.0377778
33910,5,16,82.56
34094,4.857142857,25.25,146.32125
34120,3.381944444,20.38410596,120.4331788
34262,3.556338028,26.72887324,148.0296831
34409,4,26.75,146.291
34460,#DIV/0!,0,49
34581,3.415966387,24.69662921,141.5107116
34589,3.50310559,23.5766526,136.4436146
34608,2.993135011,24.0754717,133.5840252
34695,3.491166078,26.95341615,141.7083851
34807,3.247747748,24.0877193,141.9166667
34818,3.323529412,21.37593985,140.207782
34844,3.75,37,242.26
34965,4.026315789,24.4,133.489
34970,3.602822581,23.76459144,144.4727821
34992,3.597014925,24.22463768,134.9328261
35033,3.821989529,25.24352332,136.3137824
35136,3.939393939,32.67647059,158.7779412
35304,3.513761468,26.79279279,140.0293694
35482,3.763157895,28.81481481,159.8938272
35493,3.191256831,24.96923077,140.5813846
35709,3.481203008,19.61904762,133.225034
35723,4,27.95348837,139.0769767
36531,3.576923077,25.43209877,148.8524691
36545,3.895953757,20.82857143,146.2369143
36559,4.169230769,23.6,141.4207692
36596,3.731903485,24.27644231,141.1193029
36670,3.6,19.86666667,136.954
36715,3.631578947,18,119.7485714
36725,3.909090909,21.12,135.1144
36808,3.4,28.51388889,149.5629167
36878,3.285714286,25.94285714,133.1182857
36882,3.395522388,20.95512821,133.9811538
